X,Y,Half,Player1 Name,Player1 Team,Match Name
-30.98,-0.3,0,Jonas GUTIERREZ,Newcastle United,11.12.26 Bolton Wanderers v Newcastle United
29.44,8.32,0,Martin PETROV,Bolton Wanderers,11.12.26 Bolton Wanderers v Newcastle United
-27.08,3.21,0,Leon BEST,Newcastle United,11.12.26 Bolton Wanderers v Newcastle United
36.35,15.15,1,Gabriel OBERTAN,Newcastle United,11.12.26 Bolton Wanderers v Newcastle United
-34.5,-11.24,1,Gary CAHILL,Bolton Wanderers,11.12.26 Bolton Wanderers v Newcastle United
-30.05,14.99,1,Martin PETROV,Bolton Wanderers,11.12.26 Bolton Wanderers v Newcastle United
40.18,1.98,1,Hatem BEN ARFA,Newcastle United,11.12.26 Bolton Wanderers v Newcastle United
45.48,2.68,1,Demba BA,Newcastle United,11.12.26 Bolton Wanderers v Newcastle United
38.56,-10.99,1,Demba BA,Newcastle United,11.12.26 Bolton Wanderers v Newcastle United
21.24,-1.99,1,Ryan TAYLOR,Newcastle United,11.12.26 Bolton Wanderers v Newcastle United
-38.86,7.04,1,Kevin DAVIES,Bolton Wanderers,11.12.26 Bolton Wanderers v Newcastle United
-44.78,9.7,0,Tim CAHILL,Everton,12.05.06 Wolverhampton Wanderers v Everton
-46.29,10.98,0,Nikica JELAVIC,Everton,12.05.06 Wolverhampton Wanderers v Everton
47.83,-3.9,0,Kevin DOYLE,Wolverhampton Wanderers,12.05.06 Wolverhampton Wanderers v Everton
-40.76,-13.08,0,James MCFADDEN,Everton,12.05.06 Wolverhampton Wanderers v Everton
-29.25,8.96,0,Steven PIENAAR,Everton,12.05.06 Wolverhampton Wanderers v Everton
-31.32,-18.91,0,Tony HIBBERT,Everton,12.05.06 Wolverhampton Wanderers v Everton
-32.46,11.83,0,Steven PIENAAR,Everton,12.05.06 Wolverhampton Wanderers v Everton
-37.33,-9.65,0,Steven PIENAAR,Everton,12.05.06 Wolverhampton Wanderers v Everton
-38.03,14.25,0,Leon OSMAN,Everton,12.05.06 Wolverhampton Wanderers v Everton
37.12,-3.46,0,Stephen HUNT,Wolverhampton Wanderers,12.05.06 Wolverhampton Wanderers v Everton
38.19,-13.89,0,Steven FLETCHER,Wolverhampton Wanderers,12.05.06 Wolverhampton Wanderers v Everton
-30.01,13.53,1,Kevin DOYLE,Wolverhampton Wanderers,12.05.06 Wolverhampton Wanderers v Everton
-30.7,-12.79,1,Kevin DOYLE,Wolverhampton Wanderers,12.05.06 Wolverhampton Wanderers v Everton
-30.56,-2.33,1,Michael KIGHTLY,Wolverhampton Wanderers,12.05.06 Wolverhampton Wanderers v Everton
25.49,13.15,1,Marouane FELLAINI,Everton,12.05.06 Wolverhampton Wanderers v Everton
36.03,10.55,1,Nikica JELAVIC,Everton,12.05.06 Wolverhampton Wanderers v Everton
33.69,-8.42,1,Nikica JELAVIC,Everton,12.05.06 Wolverhampton Wanderers v Everton
39.46,-12.85,1,Magaye GUEYE,Everton,12.05.06 Wolverhampton Wanderers v Everton
44.56,-12.4,1,Steven PIENAAR,Everton,12.05.06 Wolverhampton Wanderers v Everton
-26.08,-0.39,1,Sylvan EBANKS-BLAKE,Wolverhampton Wanderers,12.05.06 Wolverhampton Wanderers v Everton
32.36,12.13,1,Tony HIBBERT,Everton,12.05.06 Wolverhampton Wanderers v Everton
-28.35,-10.68,0,Tomas ROSICKY,Arsenal,12.04.21 Arsenal v Chelsea
-49.95,-4.2,0,Robin VAN PERSIE,Arsenal,12.04.21 Arsenal v Chelsea
34.24,18.07,0,Jose BOSINGWA,Chelsea,12.04.21 Arsenal v Chelsea
45.8,10.87,0,Fernando TORRES,Chelsea,12.04.21 Arsenal v Chelsea
43.5,-13.02,0,Gary CAHILL,Chelsea,12.04.21 Arsenal v Chelsea
18.48,-2.06,0,Florent MALOUDA,Chelsea,12.04.21 Arsenal v Chelsea
-44.83,11.54,0,Robin VAN PERSIE,Arsenal,12.04.21 Arsenal v Chelsea
-29.57,11.75,0,Alex OXLADE-CHAMBERLAIN,Arsenal,12.04.21 Arsenal v Chelsea
-37.29,-13.55,1,Daniel STURRIDGE,Chelsea,12.04.21 Arsenal v Chelsea
40.68,-11.12,1,Robin VAN PERSIE,Arsenal,12.04.21 Arsenal v Chelsea
-37.61,-16.61,1,Daniel STURRIDGE,Chelsea,12.04.21 Arsenal v Chelsea
37.08,7.63,1,Abou DIABY,Arsenal,12.04.21 Arsenal v Chelsea
44.67,14.6,1,Robin VAN PERSIE,Arsenal,12.04.21 Arsenal v Chelsea
45.26,-10.72,1,Robin VAN PERSIE,Arsenal,12.04.21 Arsenal v Chelsea
-2.42,-14.38,1,Daniel STURRIDGE,Chelsea,12.04.21 Arsenal v Chelsea
38.56,-11.87,1,Yao GERVINHO,Arsenal,12.04.21 Arsenal v Chelsea
-37.52,-16.24,1,Jose BOSINGWA,Chelsea,12.04.21 Arsenal v Chelsea
-38.36,8.18,1,Gary CAHILL,Chelsea,12.04.21 Arsenal v Chelsea
27.54,0.75,0,Fraizer CAMPBELL,Sunderland,12.02.01 Sunderland v Norwich City
35.86,6.1,0,Sebastian LARSSON,Sunderland,12.02.01 Sunderland v Norwich City
-40.35,1.0,0,Grant HOLT,Norwich City,12.02.01 Sunderland v Norwich City
-42.03,6.67,0,Steve MORISON,Norwich City,12.02.01 Sunderland v Norwich City
-39.51,13.2,0,Andrew SURMAN,Norwich City,12.02.01 Sunderland v Norwich City
27.71,-10.34,0,Fraizer CAMPBELL,Sunderland,12.02.01 Sunderland v Norwich City
21.99,13.58,0,Craig GARDNER,Sunderland,12.02.01 Sunderland v Norwich City
29.48,-14.36,0,Kieran RICHARDSON,Sunderland,12.02.01 Sunderland v Norwich City
